".variable","mean","sd","n","Seagrasses","Amphibolis antarctica","Halophila ovalis"
"alpha",31.573271492875,5.18633843172534,80000,"32 ± 5.2",NA,NA
"tau",1.7277218171482,1.53592852054832,80000,"1.7 ± 1.5",NA,NA
"k",0.20177171982625,0.153920543277131,80000,"0.2 ± 0.15",NA,NA
"mu",22.23996094125,9.11110120897005,80000,"22 ± 9.1",NA,NA
"alpha",33.04553529875,1.8117669855238,80000,NA,"33 ± 1.8",NA
"tau",1.42407815995091,0.968983864692051,80000,NA,"1.4 ± 0.97",NA
"k",0.2967490904375,0.0440547925604574,80000,NA,"0.3 ± 0.044",NA
"mu",12.443807613625,0.937652879380726,80000,NA,"12 ± 0.94",NA
"alpha",30.7980074775,1.39625148985135,80000,NA,NA,"31 ± 1.4"
"tau",1.54066145980019,1.29861216918667,80000,NA,NA,"1.5 ± 1.3"
"k",0.10939769844625,0.0192425601452515,80000,NA,NA,"0.11 ± 0.019"
"mu",33.9025843025,2.4910388173801,80000,NA,NA,"34 ± 2.5"
